method,bar_id,y_center_px,width_px,width_Ma_approx
RelTime,171,1333,24,8.89
RelTime,172,1343.5,32,11.85
RelTime,173,1351,34,12.59
RelTime,174,1362,24,8.89
RelTime,175,1363,24,8.89
RelTime,176,1371.5,37,13.7
RelTime,177,1375,38,14.07
RelTime,178,1377.5,53,19.63
RelTime,179,1379,36,13.33
RelTime,180,1392,35,12.96
RelTime,181,1403,20,7.41
RelTime,182,1425,16,5.93
RelTime,183,1440.5,9,3.33
RelTime,184,1452.5,36,13.33
RelTime,185,1455,56,20.74
RelTime,186,1469,37,13.7
RelTime,187,1471,10,3.7
RelTime,188,1479,34,12.59
RelTime,189,1505.5,40,14.81
RelTime,190,1514,36,13.33
RelTime,191,1522,40,14.81
RelTime,192,1536.5,40,14.81
RelTime,193,1545,41,15.19
