"node","n_tips","cv_ref","cv_est","concordance","spike_ratio","candidate"
171,20,1.0979071195022,0.640652601521879,0.58352167514166,0.955934241138063,"chronos_correlated"
172,18,1.09014281406492,0.529365046773776,0.485592382891451,0.856539949655397,"chronos_correlated"
174,16,1.15963870090501,0.306815442899767,0.264578478331501,0.9674386168914,"chronos_correlated"
175,15,1.10529361858992,0.305208007199907,0.276132967807485,1.26985064567015,"chronos_correlated"
179,11,0.821970057293567,0.174963553166906,0.212858791648681,0.913913153360698,"chronos_correlated"
180,10,0.810794508687336,0.174936625250042,0.215759509192115,0.924998059639663,"chronos_correlated"
124,11,0.907744985675601,0.957599573081694,0.947937959865987,1.32284836349593,"chronos_relaxed"
125,9,0.831858496745109,1.00046899437575,0.831468542674984,1.51370926838692,"chronos_relaxed"
126,8,0.704951425114159,0.281671516008729,0.399561595273199,1.27850962647016,"chronos_relaxed"
147,46,1.12635392139774,0.505857421564952,0.449110543280405,1.06935757460476,"chronos_relaxed"
153,11,0.695585021347172,0.465362761727697,0.669023552040276,1.22644591387725,"chronos_relaxed"
155,9,0.69563725241818,0.322748612168492,0.4639610817945,1.04759212829201,"chronos_relaxed"
170,23,1.06646226569314,0.627840652025423,0.58871342402102,1.01163482291475,"chronos_relaxed"
171,20,1.0979071195022,0.640652601517463,0.583521675137638,0.955934241050444,"chronos_relaxed"
172,18,1.09014281406492,0.529365046723383,0.485592382845225,0.856539949452927,"chronos_relaxed"
174,16,1.15963870090501,0.306815442398312,0.264578477899077,0.967438616581326,"chronos_relaxed"
175,15,1.10529361858992,0.305208006735345,0.276132967387178,1.26985064539658,"chronos_relaxed"
179,11,0.821970057293567,0.17496355299107,0.212858791434761,0.913913152925808,"chronos_relaxed"
180,10,0.810794508687336,0.17493662516261,0.21575950908428,0.924998059209573,"chronos_relaxed"
124,11,0.907744985675601,1.04566047670711,0.868106814684419,1.3298689213346,"treePL"
125,9,0.831858496745109,1.06101449750087,0.784021800554546,1.43026606699635,"treePL"
126,8,0.704951425114159,0.646575078479803,0.917190965852857,1.172213719599,"treePL"
147,46,1.12635392139774,0.849542860439014,0.754241490440929,1.21251771786632,"treePL"
153,11,0.695585021347172,1.08503704069889,0.641070300143059,1.70717323058112,"treePL"
155,9,0.69563725241818,0.696080543449267,0.99936316129612,1.74371348556197,"treePL"
170,23,1.06646226569314,0.832028638116565,0.780176350239447,1.09374841755673,"treePL"
171,20,1.0979071195022,0.880888231788942,0.802334019100216,1.07875524729572,"treePL"
172,18,1.09014281406492,0.82498473804233,0.756767578888248,1.04671150946712,"treePL"
174,16,1.15963870090501,0.848836226172961,0.73198335439349,1.21269755854197,"treePL"
175,15,1.10529361858992,0.839145305266461,0.759205781299095,1.40964554236894,"treePL"
179,11,0.821970057293567,0.23929482181486,0.291123526570745,1.19665558904303,"treePL"
180,10,0.810794508687336,0.222734483491332,0.274711386306669,1.21627610787949,"treePL"
124,11,0.907744985675601,1.19799202316214,0.757722061687501,2.2222205559311,"RelTime"
125,9,0.831858496745109,1.72266926422218,0.482889266106868,2.28571303416319,"RelTime"
126,8,0.704951425114159,0.780412310329094,0.903306387897554,2.33332896861409,"RelTime"
147,46,1.12635392139774,0.933149939491101,0.828469561621554,1.22145008008741,"RelTime"
153,11,0.695585021347172,1.16129429969863,0.59897393927421,1.66284498723091,"RelTime"
155,9,0.69563725241818,0.701924522438573,0.991042811841721,1.60395951924734,"RelTime"
170,23,1.06646226569314,0.988961317539331,0.927328935446734,1.26821940582807,"RelTime"
171,20,1.0979071195022,1.05864484274397,0.964238981548787,1.27838599518008,"RelTime"
172,18,1.09014281406492,1.01827437884125,0.934074293481158,1.28705516208775,"RelTime"
174,16,1.15963870090501,1.06235313665814,0.916107004560169,1.33839251288163,"RelTime"
175,15,1.10529361858992,1.00877863019057,0.912679321787383,0.527682258593146,"RelTime"
179,11,0.821970057293567,0.738889218446529,0.898924738060907,2.20279540438737,"RelTime"
180,10,0.810794508687336,0.722782566460861,0.891449755414642,2.23171641289417,"RelTime"
